tsp_10.txt 100 212 [0 3 4 2 8 7 6 9 1 5 0];
0,0207142;
0,0211024;
0,0215205;
0,0213356;
0,0212630;
0,0214904;
0,0221567;
0,0216357;
0,0215969;
0,0217307;
0,0218982;
0,0218192;
0,0218232;
0,0215899;
0,0223831;
0,0224586;
0,0220858;
0,0214031;
0,0209563;
0,0223235;
0,0215506;
0,0206898;
0,0209205;
0,0207607;
tsp_15.txt 50 291 [0 10 3 5 7 9 13 11 2 6 4 8 14 1 12 0];
0,0602542;
0,0486753;
0,0469513;
0,0478533;
0,0522861;
0,0493565;
0,0508478;
0,0525279;
0,0522370;
0,0519913;
0,0495687;
0,0503295;
0,0506087;
0,0497081;
0,0485901;
0,0520983;
0,0517781;
0,0516174;
0,0489933;
0,0517249;
0,0507568;
0,0504768;
0,0487562;
0,0482811;
0,0527650;
0,0506538;
0,0488094;
0,0475641;
0,0506242;
0,0507447;
0,0485418;
0,0474644;
0,0651466;
0,0486370;
0,0499942;
0,0495993;
0,0475236;
0,0489013;
0,0477189;
0,0507883;
0,0501691;
0,0511130;
0,0500486;
0,0503916;
0,0497907;
0,0507674;
0,0470596;
0,0485930;
0,0483157;
0,0500158;
atsp_br_17.txt 25 39 [0 16 7 8 3 4 14 6 15 5 12 9 10 1 13 2 11 0];
0,0632892;
0,0479321;
0,0489722;
0,0498782;
0,0500316;
0,0483234;
0,0501526;
0,0490211;
0,0483985;
0,0494003;
0,0491390;
0,0496701;
0,0491199;
0,0498746;
0,0476735;
0,0496636;
0,0475441;
0,0478216;
0,0487482;
0,0507953;
0,0481735;
0,0483569;
0,0479173;
0,0468242;
0,0495455;
tsp_gr21.txt 10 2707 [0 6 7 5 15 4 8 2 1 20 14 13 12 17 9 16 18 19 10 3 11 0];
5,9047400;
6,1227600;
6,2531000;
6,1420900;
6,3919200;
6,0726900;
5,9382500;
6,0574500;
6,0833600;
6,0033200;
tsp_gr24.txt 5 1272 [0 15 10 2 6 5 23 7 20 4 9 16 21 17 18 14 1 19 13 12 8 22 3 11 0];
61,4735000;
61,2506000;
61,2305000;
61,5996000;
61,3219000;
